,pdbid,smiles
11718,2pk5,O=C(N[C@H]1c2ccccc2C[C@H]1O)[C@@H]1C(C)(C)SCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS(=O)(=O)C)NC(=O)COc1c2cc[n]cc2ccc1
1694,3chf,CNC(=O)[NH]=[C+](=[NH2])=[NH]CCC[C@H](NC(=O)[C@@H](C)NC(=O)C)C(=O)N(C)[C@H](C(=O)N[C@H]([C-](=O)=O)C[C-](=O)=O)Cc1ccccc1
4206,3eyl,CC[C@H]([NH3+])C(=O)N[C@@H]1C(=O)N2[C@@H](CC[C@@H]1CC[NH3+])CC[C@H]2C(=O)NC(c1ccccc1)c1ccccc1
4998,5c7e,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NC[C-](=O)=O)CC(C)C)C)CC(C)C)C)CC(C)C)CC[C-](=O)=O)[C@H](O)C)C)CO
103,2lh8,Cc1[n]c(N)c(C[N+]2CS[C@@H](CCO)[C@@H]2C)c[n]1
3728,3tia,[C@H]1(C[C@@H]([C@H]([C@@H](O1)[C@@H]([C@@H](CO)O)OC)NC(=O)C)[NH]=[C+](=[NH2])=[NH2])[C-](=O)=O
2220,5d7e,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCCNC(=O)C)C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)[C@H](O)C)CO)CCC[NH]=[C+](=[NH2])=[NH2])C)[C@H](O)C)CCC(=O)N
8449,3h98,CC(C)CCN1C(=O)[C@@H]([C@H](n2ccnc12)O)C1=NS(=O)(=O)c2c(ccc(NS(=O)(=O)C)c2)N1
4602,4jpa,C[C@]1(CS(=O)(=O)N2CCN(c3[n]cc(c[n]3)OCc3cccc(C#N)c3)CC2)NC(=O)NC1=O
3731,3tiw,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)CCCC[NH3+])CCC(=O)N)CC(C)C)CCC[NH]=[C+](=[NH2])=[NH2])CCC[NH]=[C+](=[NH2])=[NH2])CC[C-](=O)=O)C)C)C)C)CC(C)C)CCSC)CCC[NH]=[C+](=[NH2])=[NH2])CCC[NH]=[C+](=[NH2])=[NH2])CCC[NH]=[C+](=[NH2])=[NH2])CC(C)C)[C@H](O)C)C(C)C
4077,3mp1,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)N[C@H]([C-](=O)=O)CCC(=O)N)[C@H](O)C)CCC[NH]=[C+](=[NH2])=[NH2])C
10644,3o9e,Nc1ccc(cc1)S(=O)(=O)N(CC(CC)CC)C[C@@H](O)[C@@H](NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)Cc1ccccc1
10024,2vnp,O=[P](=O)(=O)OP(=O)(=O)OCC[NH+](C)C
3058,4nus,c1[n]ccc(c1c1cc(c(c(c1)F)O)F)c1ccc(cc1)N1CC[NH+](CC1)C
511,2w54,c1[n]c2nc(N)[nH]c(=O)c2[n]c1CO
11642,2oax,C1C[C@@H]2[C@](CC[C@@H]3[C@]4(CCC(=O)C=C4C[C@H]([C@@H]23)SC(=O)C)C)([C@@]21CCC(=O)O2)C
6281,4klb,NC(=O)c1c(NC(=O)CSc2n[nH]cn2)scc1
694,1fmb,S(=O)(=O)(C[C@H](C(=O)N[C@H](C(=O)N[C@H](CO)Cc1ccccc1)C(C)C)Cc1cccc2c1cccc2)C(C)(C)C
8192,5e1e,COc1c(cc(c(c2nc3c([nH]2)c(c(c[n]3)Cl)NCC2CC[NH2+]CC2)c1)F)OC
6082,2uyi,O=C(c1sccc1)Nc1sc2c(C[C@H](C)CC2)c1C(=O)N(CC)CC
8514,1jyc,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H]([C-](=O)=O)CO)CO)C)[C@H](O)C)CC(C)C)Cc2ccc(cc2)O)CO)Cc2ccc(cc2)O)CCC1)Cc1ccc(cc1)O)Cc1c[nH]c2c1cccc2)C(C)C)CCC[NH]=[C+](=[NH2])=[NH2]
5186,2xl2,[NH3+][C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H]([C-](=O)=O)C[C-](=O)=O)C(C)C)CO)[C@H](O)C)C(C)C)C[C-](=O)=O)C(C)C)CC[C-](=O)=O)C)C[C-](=O)=O
10412,1lhu,c1cc(O)cc2CC[C@@H]3[C@@H](c12)CC[C@]1([C@H]3CC[C@@H]1O)C
